Unnamed: 0,time,title,Tuples,s,p,o,sp,po,spo,open price change,close price change
41,20070321 11:11 PM EDT,"Starbucks backs 2007 EPS, sales views","('Starbucks', 'backs', '2007 EPS')",Starbucks,backs,2007 EPS,Starbucks backs,backs 2007 EPS,Starbucks backs 2007 EPS,0.2550000000000008,0.44500000000000206
46,20070321 04:06 PM EDT,"Starbucks backs 2007 EPS, sales views","('Starbucks', 'backs', '2007 EPS')",Starbucks,backs,2007 EPS,Starbucks backs,backs 2007 EPS,Starbucks backs 2007 EPS,0.2550000000000008,0.44500000000000206
49,20070322 07:24 AM EDT,"Starbucks backs growth targets, shares rise 2 pct","('Starbucks', 'backs', 'growth targets')",Starbucks,backs,growth targets,Starbucks backs,backs growth targets,Starbucks backs growth targets,0.34999999999999964,-0.3150000000000013
53,20070325 03:01 PM EDT,Starbucks shares could rise to mid-$40s: Barrons,"('Starbucks shares', 'could rise to', 'mid $ 40s')",Starbucks shares,could rise to,mid $ 40s,Starbucks shares could rise to,could rise to mid $ 40s,Starbucks shares could rise to mid $ 40s,0.20000100000000032,0.2649999999999988
54,20070326 06:53 AM EDT,Starbucks shares could rise to mid-$40s - Barrons,"('Starbucks shares', 'could rise Barrons to', '$ 40s')",Starbucks shares,could rise Barrons to,$ 40s,Starbucks shares could rise Barrons to,could rise Barrons to $ 40s,Starbucks shares could rise Barrons to $ 40s,0.20000100000000032,0.2649999999999988
55,20070327 05:48 PM EDT,Starbucks enters $1 bln short-term debt agreement,"('Starbucks', 'enters', '$ 1 bln term debt agreement')",Starbucks,enters,$ 1 bln term debt agreement,Starbucks enters,enters $ 1 bln term debt agreement,Starbucks enters $ 1 bln term debt agreement,-0.10000100000000067,-0.11500000000000021
56,20070403 04:23 PM EDT,"NCR Corp. says CFO to resign, move to Starbucks","('NCR Corp.', 'says', 'CFO')",NCR Corp.,says,CFO,NCR Corp. says,says CFO,NCR Corp. says CFO,-0.054999999999999716,0.11999999999999922
59,20070409 05:18 PM EDT,Starbucks to build roasting facility in US south,"('Starbucks', 'build facility south in', 'US')",Starbucks,build facility south in,US,Starbucks build facility south in,build facility south in US,Starbucks build facility south in US,0.08499999999999908,-0.129999999999999
62,20070503 06:11 PM EDT,Starbucks shares rise after results,"('Starbucks shares', 'rise after', 'results')",Starbucks shares,rise after,results,Starbucks shares rise after,rise after results,Starbucks shares rise after results,0.2350000000000012,0.1850000000000005
64,20070503 04:22 PM EDT,Starbucks reports in line; reaffirms FY07 guidance,"('Starbucks', 'reports in', 'line')",Starbucks,reports in,line,Starbucks reports in,reports in line,Starbucks reports in line,0.2350000000000012,0.1850000000000005
66,20070503 10:29 AM EDT,"Starbucks, Ethiopia reach licensing agreement","('Starbucks', 'reach', 'licensing agreement')",Starbucks,reach,licensing agreement,Starbucks reach,reach licensing agreement,Starbucks reach licensing agreement,0.2350000000000012,0.1850000000000005
67,20070503 05:45 AM EDT,"UPDATE 1-Starbucks, Ethiopia reach licensing agreement","('UPDATE Starbucks', 'reach', 'licensing agreement')",UPDATE Starbucks,reach,licensing agreement,UPDATE Starbucks reach,reach licensing agreement,UPDATE Starbucks reach licensing agreement,0.2350000000000012,0.1850000000000005
68,20070503 04:35 AM EDT,"Starbucks, Ethiopia reach licensing agreement","('Starbucks', 'reach', 'licensing agreement')",Starbucks,reach,licensing agreement,Starbucks reach,reach licensing agreement,Starbucks reach licensing agreement,0.2350000000000012,0.1850000000000005
71,20070507 04:03 PM EDT,Starbucks to end artificial trans fats in Canada,"('Starbucks', 'end', 'artificial trans fats in Canada')",Starbucks,end,artificial trans fats in Canada,Starbucks end,end artificial trans fats in Canada,Starbucks end artificial trans fats in Canada,-0.5200000000000014,-0.17499999999999893
72,20070507 03:26 PM EDT,Starbucks to end artificial trans fats in Canada,"('Starbucks', 'end', 'artificial trans fats in Canada')",Starbucks,end,artificial trans fats in Canada,Starbucks end,end artificial trans fats in Canada,Starbucks end artificial trans fats in Canada,-0.5200000000000014,-0.17499999999999893
73,20070508 05:40 AM EDT,Starbucks to end artificial trans fats in Canada,"('Starbucks', 'end', 'artificial trans fats in Canada')",Starbucks,end,artificial trans fats in Canada,Starbucks end,end artificial trans fats in Canada,Starbucks end artificial trans fats in Canada,-0.254999999999999,-0.08500000000000085
74,20070515 06:53 PM EDT,Starbucks shares hit 18-month low -- time to buy?,"('Starbucks shares', 'hit', '18 month low')",Starbucks shares,hit,18 month low,Starbucks shares hit,hit 18 month low,Starbucks shares hit 18 month low,-0.3949999999999996,-0.254999999999999
75,20070516 09:09 AM EDT,Starbucks setting up east Africa support centre,"('Starbucks', 'setting up', 'east Africa support centre')",Starbucks,setting up,east Africa support centre,Starbucks setting up,setting up east Africa support centre,Starbucks setting up east Africa support centre,-0.24499999999999922,-0.09500000000000064
76,20070516 07:31 AM EDT,Starbucks shares hit 18-month low -- time to buy?,"('Starbucks shares', 'hit', '18 month low')",Starbucks shares,hit,18 month low,Starbucks shares hit,hit 18 month low,Starbucks shares hit 18 month low,-0.24499999999999922,-0.09500000000000064
77,20070518 03:18 PM EDT,Long-brewing China Starbucks case comes to close,"('brewing China Starbucks case', 'comes', 'close')",brewing China Starbucks case,comes,close,brewing China Starbucks case comes,comes close,brewing China Starbucks case comes close,0.125,0.2400000000000002
78,20070528 01:32 AM EDT,Starbucks Counts Japan Beans,"('Starbucks', 'Counts', 'Japan Beans')",Starbucks,Counts,Japan Beans,Starbucks Counts,Counts Japan Beans,Starbucks Counts Japan Beans,0.08499999999999908,-0.019999999999999574
79,20070531 01:15 PM EDT,Starbucks moves to reduced fat milk,"('Starbucks', 'moves to', 'fat milk')",Starbucks,moves to,fat milk,Starbucks moves to,moves to fat milk,Starbucks moves to fat milk,0.21000000000000085,0.054999999999999716
80,20070613 04:55 PM EDT,McCartney's Starbucks album heats up U.S. charts,"('McCartney', 'has', 'Starbucks album')",McCartney,has,Starbucks album,McCartney has,has Starbucks album,McCartney has Starbucks album,0.41000000000000014,0.015000000000000568
81,20070614 06:32 PM EDT,McCartney's Starbucks album heats up U.S. charts,"('McCartney', 'has', 'Starbucks album')",McCartney,has,Starbucks album,McCartney has,has Starbucks album,McCartney has Starbucks album,-0.08000000000000007,-0.08000000000000007
82,20070615 05:31 PM EDT,McCartney's Starbucks album heats up U.S. charts,"('McCartney', 'has', 'Starbucks album')",McCartney,has,Starbucks album,McCartney has,has Starbucks album,McCartney has Starbucks album,0.11500000000000021,0.08000000000000007
83,20070620 03:52 PM EDT,"Starbucks, Ethiopia settle licensing dispute","('Ethiopia', 'settle', 'licensing dispute')",Ethiopia,settle,licensing dispute,Ethiopia settle,settle licensing dispute,Ethiopia settle licensing dispute,-0.04499999999999993,-0.1349999999999998
84,20070620 03:23 PM EDT,Starbucks in pact to promote Ethiopian coffee,"('Starbucks', 'promote', 'Ethiopian coffee')",Starbucks,promote,Ethiopian coffee,Starbucks promote,promote Ethiopian coffee,Starbucks promote Ethiopian coffee,-0.04499999999999993,-0.1349999999999998
87,20070621 09:02 AM EDT,Ethiopian coffee officials welcome Starbucks deal,"('Ethiopian coffee officials', 'welcome', 'Starbucks deal')",Ethiopian coffee officials,welcome,Starbucks deal,Ethiopian coffee officials welcome,welcome Starbucks deal,Ethiopian coffee officials welcome Starbucks deal,-0.07000000000000028,-0.5299999999999994
88,20070626 06:00 PM EDT,Starbucks adds salads and pasta to its lunch menu,"('Starbucks', 'adds salads to', 'its lunch menu')",Starbucks,adds salads to,its lunch menu,Starbucks adds salads to,adds salads to its lunch menu,Starbucks adds salads to its lunch menu,0.08999999999999986,0.054999999999999716
89,20070626 10:13 AM EDT,Starbucks adds salads and pasta to its lunch menu,"('Starbucks', 'adds salads to', 'its lunch menu')",Starbucks,adds salads to,its lunch menu,Starbucks adds salads to,adds salads to its lunch menu,Starbucks adds salads to its lunch menu,0.08999999999999986,0.054999999999999716
90,20070627 12:50 AM EDT,Starbucks to file fresh application for India: report,"('Starbucks', 'file', 'application for India')",Starbucks,file,application for India,Starbucks file,file application for India,Starbucks file application for India,-0.08500000000000085,0.17999999999999972
91,20070628 05:09 AM EDT,"Starbucks signs up to promote ""green"" movie","('Starbucks', 'promote', 'green movie')",Starbucks,promote,green movie,Starbucks promote,promote green movie,Starbucks promote green movie,0.41000000000000014,0.16000000000000014
93,20070629 06:33 AM EDT,"Starbucks signs up to promote ""green"" movie","('Starbucks', 'promote', 'green movie')",Starbucks,promote,green movie,Starbucks promote,promote green movie,Starbucks promote green movie,0.03999999999999915,-0.10500000000000043
96,20070712 08:26 AM EDT,Convergys to provide HR services to Starbucks,"('Convergys', 'provide', 'HR services')",Convergys,provide,HR services,Convergys provide,provide HR services,Convergys provide HR services,0.045000000000001705,-0.014999999999998792
97,20070712 08:14 AM EDT,Convergys to provide Starbucks with HR services,"('Convergys', 'provide', 'Starbucks')",Convergys,provide,Starbucks,Convergys provide,provide Starbucks,Convergys provide Starbucks,0.045000000000001705,-0.014999999999998792
98,20070714 04:24 AM EDT,Starbucks finds imperial palace a forbidding market,"('Starbucks', 'finds', 'palace forbidding market')",Starbucks,finds,palace forbidding market,Starbucks finds,finds palace forbidding market,Starbucks finds palace forbidding market,-0.09000000000000163,0.054999999999999716
99,20070714 03:55 AM EDT,Starbucks closed after protests,"('Starbucks', 'closed after', 'protests')",Starbucks,closed after,protests,Starbucks closed after,closed after protests,Starbucks closed after protests,-0.09000000000000163,0.054999999999999716
100,20070717 09:27 PM EDT,"Starbucks, NBC Universal pair on ""SNL"" DVD","('Starbucks', 'pair on', 'SNL')",Starbucks,pair on,SNL,Starbucks pair on,pair on SNL,Starbucks pair on SNL,0.025000000000000355,-0.10499999999999865
101,20070717 07:49 PM EDT,"Starbucks, NBC Universal pair on ""SNL"" DVD","('Starbucks', 'pair on', 'SNL')",Starbucks,pair on,SNL,Starbucks pair on,pair on SNL,Starbucks pair on SNL,0.025000000000000355,-0.10499999999999865
102,20070717 03:54 PM EDT,"Starbucks shakes up management, adds COO post","('Starbucks', 'shakes up', 'management')",Starbucks,shakes up,management,Starbucks shakes up,shakes up management,Starbucks shakes up management,0.025000000000000355,-0.10499999999999865
104,20070718 12:53 AM EDT,"Starbucks shakes up management, adds COO post","('Starbucks', 'shakes up', 'management')",Starbucks,shakes up,management,Starbucks shakes up,shakes up management,Starbucks shakes up management,-0.125,0.3149999999999995
105,20070719 07:19 PM EDT,Starbucks shares rise on PepsiCo partnership talk,"('Starbucks shares', 'rise on', 'PepsiCo partnership talk')",Starbucks shares,rise on,PepsiCo partnership talk,Starbucks shares rise on,rise on PepsiCo partnership talk,Starbucks shares rise on PepsiCo partnership talk,0.4599999999999991,0.6050000000000004
106,20070719 07:11 PM EDT,CORRECTED - UPDATE 1-Starbucks shares rise on PepsiCo partnership talk,"('CORRECTED UPDATE Starbucks shares', 'rise on', 'PepsiCo partnership talk')",CORRECTED UPDATE Starbucks shares,rise on,PepsiCo partnership talk,CORRECTED UPDATE Starbucks shares rise on,rise on PepsiCo partnership talk,CORRECTED UPDATE Starbucks shares rise on PepsiCo partnership talk,0.4599999999999991,0.6050000000000004
107,20070719 08:03 AM EDT,Hershey Foods and Starbucks announce development and distribution agreement,"('Hershey Foods', 'announce', 'development agreement')",Hershey Foods,announce,development agreement,Hershey Foods announce,announce development agreement,Hershey Foods announce development agreement,0.4599999999999991,0.6050000000000004
108,20070720 04:51 AM EDT,Starbucks shares rise on PepsiCo partnership talk,"('Starbucks shares', 'rise on', 'PepsiCo partnership talk')",Starbucks shares,rise on,PepsiCo partnership talk,Starbucks shares rise on,rise on PepsiCo partnership talk,Starbucks shares rise on PepsiCo partnership talk,0.625,-0.005000000000000782
109,20070720 12:05 AM EDT,Starbucks shares up on PepsiCo partnership rumor,"('Starbucks', 'shares up on', 'PepsiCo partnership rumor')",Starbucks,shares up on,PepsiCo partnership rumor,Starbucks shares up on,shares up on PepsiCo partnership rumor,Starbucks shares up on PepsiCo partnership rumor,0.625,-0.005000000000000782
110,20070723 06:12 PM EDT,Starbucks raising U.S. drinks prices next week,"('Starbucks', 'raising U.S. drinks prices at_time', 'next week')",Starbucks,raising U.S. drinks prices at_time,next week,Starbucks raising U.S. drinks prices at_time,raising U.S. drinks prices at_time next week,Starbucks raising U.S. drinks prices at_time next week,-0.014999999999998792,0.2350000000000012
111,20070723 04:37 PM EDT,Starbucks delaying India coffee shops plans,"('Starbucks', 'delaying', 'India coffee shops')",Starbucks,delaying,India coffee shops,Starbucks delaying,delaying India coffee shops,Starbucks delaying India coffee shops,-0.014999999999998792,0.2350000000000012
112,20070723 04:02 PM EDT,Starbucks raising beverage prices next week,"('Starbucks', 'raising beverage prices at_time', 'week')",Starbucks,raising beverage prices at_time,week,Starbucks raising beverage prices at_time,raising beverage prices at_time week,Starbucks raising beverage prices at_time week,-0.014999999999998792,0.2350000000000012
113,20070723 12:11 PM EDT,Starbucks delaying plans to open stores in India,"('plans', 'open', 'stores')",plans,open,stores,plans open,open stores,plans open stores,-0.014999999999998792,0.2350000000000012
114,20070724 06:07 PM EDT,"UPDATE 2-Dunkin' Brands sees big growth, Starbucks fight","(""UPDATE Dunkin' Brands"", 'sees', 'growth')",UPDATE Dunkin' Brands,sees,growth,UPDATE Dunkin' Brands sees,sees growth,UPDATE Dunkin' Brands sees growth,0.17999999999999972,0.05999999999999872
115,20070724 05:29 AM EDT,Starbucks raising U.S. drinks prices next week,"('Starbucks', 'raising U.S. drinks prices at_time', 'next week')",Starbucks,raising U.S. drinks prices at_time,next week,Starbucks raising U.S. drinks prices at_time,raising U.S. drinks prices at_time next week,Starbucks raising U.S. drinks prices at_time next week,0.17999999999999972,0.05999999999999872
116,20070725 02:39 PM EDT,CORRECTED - Starbucks plans first stores in Argentina,"('Starbucks', 'plans stores in', 'Argentina')",Starbucks,plans stores in,Argentina,Starbucks plans stores in,plans stores in Argentina,Starbucks plans stores in Argentina,0.009999999999999787,-0.16499999999999915
117,20070725 07:19 AM EDT,"Dunkin' Brands sees big growth, Starbucks fight","(""Dunkin' Brands"", 'sees', 'big growth')",Dunkin' Brands,sees,big growth,Dunkin' Brands sees,sees big growth,Dunkin' Brands sees big growth,0.009999999999999787,-0.16499999999999915
118,20070801 06:44 PM EDT,"UPDATE 3-Starbucks 3rd-quarter earnings meet view,shares up","('UPDATE 3 Starbucks 3rd quarter earnings', 'meet', 'view')",UPDATE 3 Starbucks 3rd quarter earnings,meet,view,UPDATE 3 Starbucks 3rd quarter earnings meet,meet view,UPDATE 3 Starbucks 3rd quarter earnings meet view,-0.35499999999999865,0.2599999999999998
121,20070802 04:43 AM EDT,"Starbucks 3rd-quarter earnings meet view,shares up","('Starbucks 3rd quarter earnings', 'meet', 'view')",Starbucks 3rd quarter earnings,meet,view,Starbucks 3rd quarter earnings meet,meet view,Starbucks 3rd quarter earnings meet view,0.5949999999999989,-0.1399999999999988
122,20070802 02:40 AM EDT,Starbucks 3rd-quarter earnings meet view,"('Starbucks 3rd quarter earnings', 'meet', 'view')",Starbucks 3rd quarter earnings,meet,view,Starbucks 3rd quarter earnings meet,meet view,Starbucks 3rd quarter earnings meet view,0.5949999999999989,-0.1399999999999988
124,20070809 04:38 PM EDT,Starbucks enters into $400 mln credit facility,"('Starbucks', 'enters into', '$ 400 mln credit facility')",Starbucks,enters into,$ 400 mln credit facility,Starbucks enters into,enters into $ 400 mln credit facility,Starbucks enters into $ 400 mln credit facility,0.1999999999999993,0.16500000000000092
126,20070813 05:26 PM EDT,Starbucks label to release James Taylor live album,"('James Taylor', 'live', 'album')",James Taylor,live,album,James Taylor live,live album,James Taylor live album,0.1349999999999998,-0.11500000000000021
127,20070814 06:44 PM EDT,Starbucks label to release James Taylor live album,"('James Taylor', 'live', 'album')",James Taylor,live,album,James Taylor live,live album,James Taylor live album,-0.11999999999999922,-0.33000000000000007
128,20070814 03:36 PM EDT,"From Starbucks to Wal-Mart, consumer pulls back","('consumer', 'pulls From', 'Starbucks')",consumer,pulls From,Starbucks,consumer pulls From,pulls From Starbucks,consumer pulls From Starbucks,-0.11999999999999922,-0.33000000000000007
129,20070815 03:04 PM EDT,Starbucks label to release James Taylor live album,"('James Taylor', 'live', 'album')",James Taylor,live,album,James Taylor live,live album,James Taylor live album,-0.3949999999999996,-0.28999999999999915
130,20070815 07:59 AM EDT,"From Starbucks to Wal-Mart, consumer pulls back","('consumer', 'pulls From', 'Starbucks')",consumer,pulls From,Starbucks,consumer pulls From,pulls From Starbucks,consumer pulls From Starbucks,-0.3949999999999996,-0.28999999999999915
131,20070821 09:39 AM EDT,New Issue-Starbucks sells $550 mln in 10-year notes,"('New Issue Starbucks', 'sells', '$ 550 mln in 10 year notes')",New Issue Starbucks,sells,$ 550 mln in 10 year notes,New Issue Starbucks sells,sells $ 550 mln in 10 year notes,New Issue Starbucks sells $ 550 mln in 10 year notes,0.05000000000000071,0.22000000000000064
133,20070904 05:28 PM EDT,"Kraft in deals with Starbucks, Bosch over Tassimo","('deals', 'is with', 'Starbucks')",deals,is with,Starbucks,deals is with,is with Starbucks,deals is with Starbucks,0.03500000000000014,0.08499999999999908
134,20070904 11:17 AM EDT,"Kraft in deals with Starbucks, Bosch over Tassimo","('deals', 'is with', 'Starbucks')",deals,is with,Starbucks,deals is with,is with Starbucks,deals is with Starbucks,0.03500000000000014,0.08499999999999908
135,20070904 09:32 AM EDT,Starbucks to source coffee from China,"('Starbucks', 'source', 'coffee from China')",Starbucks,source,coffee from China,Starbucks source,source coffee from China,Starbucks source coffee from China,0.03500000000000014,0.08499999999999908
136,20070904 02:44 AM EDT,Starbucks to open first store in Russia,"('Starbucks', 'open', 'store')",Starbucks,open,store,Starbucks open,open store,Starbucks open store,0.03500000000000014,0.08499999999999908
137,20070904 12:33 AM EDT,Starbucks to sell branded coffee with Kraft-FT,"('Starbucks', 'sell', 'coffee')",Starbucks,sell,coffee,Starbucks sell,sell coffee,Starbucks sell coffee,0.03500000000000014,0.08499999999999908
138,20070905 08:38 PM EDT,Starbucks to offer free iTunes access in stores,"('Starbucks', 'offer', 'free iTunes access')",Starbucks,offer,free iTunes access,Starbucks offer,offer free iTunes access,Starbucks offer free iTunes access,-0.07000000000000028,-0.1399999999999988
139,20070905 06:37 PM EDT,Starbucks to offer free iTunes access in stores,"('Starbucks', 'offer', 'free iTunes access')",Starbucks,offer,free iTunes access,Starbucks offer,offer free iTunes access,Starbucks offer free iTunes access,-0.07000000000000028,-0.1399999999999988
140,20070905 02:51 PM EDT,Apple in wireless music deal with Starbucks,"('Apple', 'is with', 'Starbucks')",Apple,is with,Starbucks,Apple is with,is with Starbucks,Apple is with Starbucks,-0.07000000000000028,-0.1399999999999988
141,20070906 07:52 AM EDT,Starbucks opens first coffee shop in Russia,"('Starbucks', 'opens coffee shop in', 'Russia')",Starbucks,opens coffee shop in,Russia,Starbucks opens coffee shop in,opens coffee shop in Russia,Starbucks opens coffee shop in Russia,-0.040000000000000924,0.06999999999999851
142,20070906 04:26 AM EDT,Starbucks to offer free iTunes access in stores,"('Starbucks', 'offer', 'free iTunes access')",Starbucks,offer,free iTunes access,Starbucks offer,offer free iTunes access,Starbucks offer free iTunes access,-0.040000000000000924,0.06999999999999851
143,20070907 08:17 PM EDT,Starbucks chairman sees gourmet coffee shortages,"('Starbucks chairman', 'sees', 'gourmet coffee shortages')",Starbucks chairman,sees,gourmet coffee shortages,Starbucks chairman sees,sees gourmet coffee shortages,Starbucks chairman sees gourmet coffee shortages,-0.054999999999999716,-0.20999999999999908
144,20070907 07:40 PM EDT,Starbucks chairman sees gourmet coffee shortages,"('Starbucks chairman', 'sees', 'gourmet coffee shortages')",Starbucks chairman,sees,gourmet coffee shortages,Starbucks chairman sees,sees gourmet coffee shortages,Starbucks chairman sees gourmet coffee shortages,-0.054999999999999716,-0.20999999999999908
145,20070907 02:15 PM EDT,Starbucks chairman sees arabica prices stable,"('Starbucks chairman', 'sees', 'arabica prices stable')",Starbucks chairman,sees,arabica prices stable,Starbucks chairman sees,sees arabica prices stable,Starbucks chairman sees arabica prices stable,-0.054999999999999716,-0.20999999999999908
146,20070907 11:18 AM EDT,Starbucks opens first coffee shop in Russia,"('Starbucks', 'opens coffee shop in', 'Russia')",Starbucks,opens coffee shop in,Russia,Starbucks opens coffee shop in,opens coffee shop in Russia,Starbucks opens coffee shop in Russia,-0.054999999999999716,-0.20999999999999908
147,20070908 08:06 AM EDT,CORRECTED: Starbucks opens first coffee shop in Russia,"('Starbucks', 'opens coffee shop in', 'Russia')",Starbucks,opens coffee shop in,Russia,Starbucks opens coffee shop in,opens coffee shop in Russia,Starbucks opens coffee shop in Russia,-0.054999999999999716,-0.20999999999999908
